"RIOT.Open","RIOT.High","RIOT.Low","RIOT.Close","RIOT.Volume","RIOT.Adjusted"
1.16,1.21,1.13,1.18,810600,1.18
1.18,1.19,1.12,1.14,751300,1.14
1.16,1.17,1.13,1.165,530700,1.165
1.25,1.33,1.22,1.28,2785100,1.28
1.29,1.34,1.16,1.27,1437700,1.27
1.08,1.12,1.02,1.08,1378500,1.08
1.13,1.14,1.04,1.07,776300,1.07
1.04,1.08,0.99,1.01,1065500,1.01
0.75,0.777,0.53,0.728,1826700,0.728
0.78,0.8,0.65,0.72,1138300,0.72
0.61,0.7,0.6,0.658,936800,0.658
0.7,0.8,0.631,0.748,674700,0.748
0.74,0.74,0.511,0.65,1454800,0.65
0.7,0.73,0.65,0.703,840100,0.703
0.756,0.76,0.69,0.705,592900,0.705
0.714,0.73,0.63,0.669,565600,0.669
0.735,0.83,0.735,0.798,1173800,0.798
0.75,0.84,0.735,0.773,719100,0.773
0.82,0.93,0.76,0.816,1238000,0.816
0.8,0.83,0.78,0.789,364600,0.789
0.807,0.85,0.78,0.792,506900,0.792
0.83,0.86,0.79,0.833,354400,0.833
0.83,0.846,0.76,0.773,524600,0.773
0.798,0.882,0.76,0.78,995800,0.78
0.91,0.95,0.85,0.9,1287600,0.9
0.95,1.12,0.92,1.095,2570800,1.095
1.19,1.19,0.99,1.02,1410400,1.02
1.06,1.09,1,1.07,673600,1.07
1.08,1.09,0.98,1.03,759800,1.03
1.01,1.02,0.93,1.01,656500,1.01
0.984,1.04,0.984,1.01,1078000,1.01
1.05,1.25,1.02,1.13,2518900,1.13
1.2,1.21,1.13,1.17,1027800,1.17
1.2,1.2,1.11,1.14,720000,1.14
1.1,1.18,1.1,1.1,1170200,1.1
1.08,1.084,0.984,1.02,1030200,1.02
1.05,1.08,1.02,1.07,502300,1.07
1.07,1.2,1.07,1.15,4276500,1.15
1.17,1.29,1.1,1.25,4467300,1.25
1.27,1.3,1.15,1.24,2484600,1.24
1.24,1.25,1.15,1.16,1071800,1.16
1.26,1.38,1.17,1.21,7766400,1.21
1.23,1.24,1.15,1.21,1669700,1.21
1.18,1.2,1.07,1.07,2123000,1.07
1.1,1.13,1.03,1.12,1039300,1.12
1.15,1.18,1.1,1.15,2111400,1.15
1.21,1.28,1.17,1.27,4860800,1.27
1.35,1.59,1.27,1.54,10412300,1.54
1.75,2.13,1.56,1.85,20009100,1.85
1.8,1.87,1.5,1.59,9081900,1.59
1.61,1.74,1.52,1.6,4215700,1.6
1.64,1.91,1.6,1.89,8303700,1.89
2.1,2.58,1.92,2.28,21548400,2.28
2.27,2.34,2.01,2.08,6998700,2.08
2.18,2.31,2.06,2.19,5523100,2.19
2.2,2.415,2.15,2.23,5389200,2.23
2.45,2.75,2.37,2.53,12852500,2.53
2.43,2.52,2.15,2.33,6331400,2.33
2.37,2.38,2.2,2.24,3030100,2.24
2.17,2.17,1.93,1.95,5653900,1.95
2.13,2.21,1.99,2.12,4581900,2.12
2.22,2.35,2.18,2.21,4949300,2.21
2.2,2.21,2.06,2.14,2455600,2.14
2.14,2.32,2.14,2.27,4076800,2.27
2.62,2.98,2.34,2.51,16278000,2.51
2.6,2.65,2.32,2.41,5059300,2.41
2.54,2.74,2.41,2.63,6913300,2.63
2.57,2.68,2.42,2.6,4229500,2.6
2.58,2.66,2.48,2.57,3545800,2.57
2.55,2.65,2.43,2.62,3665000,2.62
2.68,3.31,2.57,3.1,18090900,3.1
2.68,2.819,2.16,2.18,11006000,2.18
2.45,2.462,2.14,2.29,4853900,2.29
2.1,2.375,2.05,2.31,4674200,2.31
2.46,2.48,2.28,2.35,2646800,2.35
2.35,2.35,2.21,2.27,1699400,2.27
2.27,2.28,2.19,2.19,1934300,2.19
2.25,2.32,2.11,2.11,3511000,2.11
2.23,2.7,2.14,2.51,10076100,2.51
2.568,2.84,2.41,2.6,7705100,2.6
2.5,2.52,2.24,2.37,5062600,2.37
2.22,2.38,2.22,2.33,1906300,2.33
2.28,2.3,2.15,2.2,2817900,2.2
2.163,2.18,2.04,2.14,2961000,2.14
2.1,2.36,2.08,2.22,3369000,2.22
2.21,2.41,2.21,2.34,3538300,2.34
2.38,2.385,2.19,2.29,3108700,2.29
2.35,2.49,2.31,2.38,4540800,2.38
2.38,2.385,2.23,2.29,2244000,2.29
2.33,2.58,2.308,2.54,9039500,2.54
2.59,2.6,2.26,2.36,5068600,2.36
2.3,2.39,2.25,2.33,1765900,2.33
2.34,2.376,2.16,2.18,3641200,2.18
2.15,2.25,2.09,2.25,1919500,2.25
2.27,2.28,2.18,2.26,1526600,2.26
2.2,2.23,2.16,2.22,1761600,2.22
2.25,2.26,2.18,2.23,1595100,2.23
2.22,2.27,2.15,2.26,2079900,2.26
2.35,2.37,2.25,2.3,3792900,2.3
2.3,2.37,2.24,2.34,5382500,2.34
2.4,2.45,2.23,2.29,7573500,2.29
2.25,2.285,2.06,2.22,8569200,2.22
2.62,3.08,2.47,2.64,52558900,2.64
2.87,3.2,2.66,2.77,43346200,2.77
2.88,2.91,2.7,2.75,15147400,2.75
2.561,2.66,2.36,2.55,10283700,2.55
2.6,2.8,2.43,2.64,14306300,2.64
2.9,4,2.75,3.5,58695600,3.5
3.2,3.67,3.03,3.4,14269800,3.4
4.07,4.45,3.83,4.01,39590900,4.01
4.37,4.58,4.02,4.25,27231000,4.25
4.12,4.15,3.51,3.77,14748700,3.77
4.255,4.28,4,4.13,12386000,4.13
3.78,4.04,3.54,3.62,10213600,3.62
3.75,3.83,3.5,3.54,5661500,3.54
3.42,3.75,3.05,3.61,11009400,3.61
3.67,3.84,3.39,3.78,10691500,3.78
3.95,4.41,3.77,4.15,21029500,4.15
4,4.2,3.91,4.04,9456000,4.04
3.87,4.06,3.63,3.69,8062900,3.69
3.73,4.05,3.71,3.99,7506700,3.99
3.82,3.94,3.67,3.725,5926100,3.725
3.78,3.79,3.52,3.63,4019400,3.63
3.41,3.6,3.18,3.58,7397600,3.58
3.4,3.56,3.35,3.41,3852000,3.41
3.46,3.5,3.15,3.27,4789700,3.27
3.23,3.65,3.21,3.59,8606100,3.59
3.66,3.7,3.35,3.5,4588200,3.5
3.52,3.88,3.42,3.75,8451200,3.75
3.51,3.52,3.3,3.43,5030500,3.43
3.1,3.29,3.06,3.16,5900100,3.16
3.08,3.2,2.54,3.11,8056200,3.11
2.84,3.02,2.63,2.82,4434900,2.82
2.88,3.09,2.88,2.95,3976600,2.95
3.01,3.2,2.78,2.81,4480900,2.81
2.87,2.97,2.75,2.91,2951000,2.91
3.068,3.12,2.874,3.02,4284400,3.02
3.11,3.13,2.95,3,2856100,3
3.02,3.28,2.96,3.05,6377500,3.05
2.92,3.06,2.9,3,2852400,3
3.03,3.06,2.88,3.05,3944300,3.05
2.85,3.03,2.75,2.93,3625500,2.93
2.95,2.96,2.835,2.93,2511300,2.93
2.9,2.92,2.6,2.6,4315400,2.6
2.55,2.77,2.35,2.69,4218800,2.69
2.66,2.78,2.6,2.68,3685800,2.68
2.79,2.81,2.66,2.74,3243400,2.74
2.7,2.78,2.66,2.76,1996600,2.76
2.73,2.757,2.63,2.7,1901500,2.7
2.71,2.74,2.62,2.65,1740100,2.65
2.53,2.61,2.5,2.6,2138300,2.6
2.63,2.68,2.57,2.66,2047500,2.66
2.66,2.67,2.53,2.57,2444300,2.57
2.57,2.66,2.547,2.66,2148100,2.66
2.77,3.09,2.72,2.93,9775100,2.93
3.15,3.15,2.96,3.095,6531000,3.095
3.22,3.65,3.16,3.5,12692100,3.5
3.467,3.47,3.22,3.37,5209300,3.37
3.33,3.49,3.21,3.28,4012900,3.28
3.176,3.47,3.076,3.4,3605700,3.4
3.37,3.37,3.11,3.11,4208700,3.11
3.32,3.55,3.25,3.3,8909400,3.3
3.45,3.77,3.41,3.54,13717600,3.54
3.93,4.14,3.76,3.98,18072900,3.98
4.18,4.26,3.83,4.055,15856100,4.055
3.97,4.01,3.68,3.91,7305400,3.91
3.98,4.03,3.61,3.85,6772300,3.85
4.03,4.16,3.86,4.02,10807100,4.02
3.71,3.83,3.36,3.5,8592400,3.5
3.5,3.73,3.44,3.55,4609800,3.55
3.48,3.54,3.18,3.27,6904900,3.27
3.26,3.39,3.14,3.29,3253500,3.29
3.35,3.59,3.298,3.5,5559600,3.5
3.59,3.73,3.38,3.55,7842100,3.55
3.83,3.98,3.66,3.75,11977200,3.75
3.82,3.82,3.61,3.65,5328900,3.65
3.51,3.62,3.33,3.5,5480300,3.5
3.447,3.48,3.2,3.45,3934300,3.45
3.501,3.76,3.415,3.6,7266700,3.6
3.765,3.81,3.54,3.7,5205500,3.7
3.77,4.12,3.595,3.98,11293700,3.98
4.02,4.17,3.81,4.1,11278300,4.1
4.236,6.29,4.07,6.085,82187000,6.085
6.39,6.44,5.05,5.25,48455900,5.25
5.46,6,5.41,6,22024600,6
6.17,6.56,5.83,5.995,34199600,5.995
6.32,7.38,6.19,7.23,39777800,7.23
7.59,7.6,6.46,6.81,28281000,6.81
7.09,7.58,6.84,7.08,17377800,7.08
6.15,6.61,6.02,6.25,13230100,6.25
7.09,8.48,6.9,8.45,46491800,8.45
8.17,9.09,7.81,8.81,28960200,8.81
8.42,8.54,7.8,8.51,14162400,8.51
8.81,10.14,8.5,9.66,29297500,9.66
9.404,10.59,9.11,10,32322200,10
9.54,11.29,9.5,10.63,27428900,10.63
10.7,10.92,9.383,9.87,17488500,9.87
9.82,10.09,8.36,8.85,16849800,8.85
8.47,9.59,8.46,9.34,12211500,9.34
9,9.27,8.44,8.66,10823800,8.66
9.26,9.89,8.9,9.14,17807800,9.14
9.25,10.3,9.1,10.18,24809400,10.18
11.25,11.66,10.53,10.76,51278700,10.76
11.645,11.85,10.28,10.395,47489500,10.395
9.95,10.59,9.65,10.05,27783400,10.05
9.89,11.32,9.75,11.04,24335600,11.04
11.92,15.7,11.63,14.645,70429700,14.645
14.96,15.01,13.31,13.91,32496200,13.91
14.07,14.96,12.8,13.12,15980000,13.12
15.45,17.43,14.71,15.65,44305800,15.65
15.5,16.450001,14.19,15.79,23106600,15.79
16.99,18.16,16.43,17.26,42958100,17.26
17.48,18.669001,16.42,16.99,39818100,16.99
18.799999,19.23,15.85,16.48,32293600,16.48
15.75,18.65,15.35,18.41,28099800,18.41
18.889999,20.68,18.120001,19.280001,40860400,19.280001
20.84,24.700001,19.870001,22.719999,59358000,22.719999
24.77,27.389999,23.59,26.59,57499700,26.59
21,24,20.26,22.639999,55243800,22.639999
23.280001,24.91,22.082001,24.209999,29022100,24.209999
23.65,25.079,22.52,23.879999,24905700,23.879999
25.9,29.280001,25.559999,28.9,37561000,28.9
27,27.15,24.51,25.780001,28732200,25.780001
26.700001,27.195,24.75,25.200001,20272300,25.200001
24.280001,24.280001,20.700001,22.280001,26544500,22.280001
19.370001,20.469999,17.9,19.35,38293000,19.35
20.299999,22.5,20.280001,20.969999,30545100,20.969999
22.01,22.25,19.16,19.67,19272000,19.67
18.98,20.299999,18.370001,19.32,14084400,19.32
17.790001,18.93,16.75,17.93,13308800,17.93
18.389999,22.41,17.75,19.93,26695000,19.93
